id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5691131,Gran Habitacion en Barcelona,29506127,Omar,Ciutat Vella,el Raval,41.38047220761760,2.164570255393770,Private room,30,2,16,2015-10-18,1.79,1,363
8148784,Nice Double Room Near Boqueria,37308706,,Ciutat Vella,el Raval,41.37987132800260,2.1732842725184000,Private room,25,2,0,,,3,365
3102505,Suite B&B Raco de Sant Pau,15705357,Alexia,Ciutat Vella,el Raval,41.37510239664540,2.168678460707270,Private room,42,2,56,2015-12-19,2.98,5,355
4427796,habitación en el centro,4808715,,Ciutat Vella,el Raval,41.37988938315380,2.1723612554035600,Private room,25,1,3,2015-11-10,0.72,1,276
3635498,Big room in huge flat in Raval,1122938,Lena,Ciutat Vella,el Raval,41.37696815986660,2.1751497343303700,Private room,69,1,0,,,3,76
1348673,Ático en alquiler con terraza BCN,4316309,Rafael,Ciutat Vella,el Raval,41.38142580081840,2.1654868814101000,Entire home/apt,70,6,3,2014-08-21,0.10,1,347
6388192,"Habitacion interior, Ramblas",10273438,,Ciutat Vella,el Raval,41.37745096745950,2.1728886785902400,Private room,28,3,8,2015-11-27,1.14,2,365
854480,BCN-offer: Bedroom @ Penthouse.WIFI,501022,Maria,Ciutat Vella,el Raval,41.38278501906100,2.166917826263150,Private room,28,2,1,2014-06-21,0.05,2,365
4255365,"Cozy, light room in the center",4112948,Lucía,Ciutat Vella,el Raval,41.38130564291030,2.1714318587946300,Private room,60,1,0,,,1,365
8287073,Sunny apartment in old city,43027901,Marcos Y Beatriz,Ciutat Vella,el Raval,41.378950504563100,2.171276087123850,Entire home/apt,130,2,1,2015-10-11,0.35,1,88
6174659,SUNNY BALCONY IN CENTRAL BARCELONA,32033208,Alain,Ciutat Vella,el Raval,41.38113167063940,2.1666865067703400,Entire home/apt,60,1,12,2015-10-19,1.43,1,362
6782171,квартира рядом с центром города,35504393,Мария,Ciutat Vella,el Raval,41.37928394140350,2.1694589117540500,Entire home/apt,80,1,21,2015-12-14,3.64,1,318
9764125,Lovely Flat in Rambla del Raval,17869910,Silvia,Ciutat Vella,el Raval,41.3782527493349,2.1705103609079500,Entire home/apt,120,3,0,,,1,42
6684555,HEART OF BCN - 3 Bdr by Ramblas,4758062,,Ciutat Vella,el Raval,41.38185949181180,2.171530811892010,Entire home/apt,171,2,13,2015-10-31,2.62,1,353
6387790,"Habitación doble, balcón,  Ramblas",10273438,,Ciutat Vella,el Raval,41.37911820616310,2.174758786672970,Private room,40,3,3,2015-08-14,0.55,2,336
6356326,HAPPY. ROOMS  FOR  (2 PERSON ONLY),12355332,Sunny,Ciutat Vella,el Raval,41.38268357259750,2.1667072534499700,Private room,25,2,33,2015-12-28,4.34,1,310
